id,VillageName
816,Thaori
817,Ghondi
818,Baratmari
819,Budhena
820,Basuriya Khurd
821,Hadai
822,Rajadhana
823,Karapatha
824,Jamuniya
825,Tinsai
826,Dahiyar
827,Sejwada Kalan
828,Khapa
829,Surla
830,Surli
831,Barud
832,Chhatiam
833,Kharsi Adewas
834,Gangwani
835,Almod
836,Bijori
837,Charkhda
838,Sangakheda
839,Jhapiya
840,Bichbehari
841,Seonighat
842,Pilhawadi
843,Dhannor
844,Patre
845,Mohagaon
846,Uchetemru
847,Kukarpani
848,Hardoo
849,Temru
850,Dhobe
851,Batri
852,Pindrai Khurd
853,Tarai
854,Gop
855,Harra Pathar
856,Gurre Khurai Mau
857,Tandsi
858,Kusumpath Barudhana
859,Satijhiri
860,Bakhari
861,Dhodra Mau
862,Karanjpani
863,Nonkhadak
864,Kangra Sindrai Mau
865,Lakhapur
866,Chandniya Koyalwadi
867,Rakhi Kol
868,Bhardagarh
869,Keriya
870,Rampur
871,Biramdoh
872,Danwa
873,Bakodi
874,Maregaon
875,Umardoh
876,Banabehara
877,Chicholi
878,Tenkadahana
879,Karanji
880,Mendka
881,Dehri
882,Bichhuwa
883,Lakadbandhi
884,Chaumau
885,Sendal Gondhi
886,Pindrai Kalan
887,Bakatawa
888,Dhau
889,Bhaliam
890,Iklamasani
891,Bhaura Khapa
892,Pipriya
893,Kangla
894,Chandniya Kusumpatha
895,Chikatbarri
896,Nandana
897,Barukheda
898,Khajri
899,Bichhwacharanbhata
900,Mudni
901,Jhot Kalan
902,Jhot Khurd
903,Ghatiya
904,Suwa Am
905,Kodakhuri
906,Gorakhghat
907,Khapa
908,Kowajhiri
909,Junapani
910,Chhawada
911,Bhardi
912,Bijori
913,Mali
914,Sagoniya
915,Ghodawadi Kalan
916,Bhakra
917,Ghodawadi Khurd
918,Karmohni Bandhi
919,Dungariya
920,Churni Chougan
921,Semar Kuhi
922,Mandai
923,Khapa Surju
924,Bhawai Kalan
925,Karhaiya
926,Birajpura
927,Bhawai Khurd
928,Ramnagari
929,Hirdagarh
930,Hirdagarh Chhinddhana
931,Markadhana
932,Toranwadi
933,Mohgaon Mukasa
934,Sarai
935,Keolari Ryt.
936,Mankughati
937,Baliyamau Tandi
938,Khairijinda
939,Nawegaon Kalan
940,Bhordehi Khurd
941,Badnoor
942,Sohagi
943,Jamai Ryt.
944,Nirama
945,Malni
946,Kamtha Ryt.
947,Surnadehi Ryt.
948,Surnadehi Kalan
949,Bichhua Kalan
950,Jamuniya
951,Buchanwadi
952,Roradhekni
953,Piplawadi
954,Chikhlar
955,Ghartiya
956,Seltiya
957,Tekapar
958,Morchhi
959,Ghudela
960,Katangi
961,Barelipar
962,Roradhekni
963,Dhamaniya
964,Khadwadi
965,Talkhamra
966,Khumkal
967,Jatasemar
968,Aradongri
969,Sathiya
970,Korpani Khurd
971,Korpani Kalan
972,Ankiya
973,Ghanaumri
974,Pipriya Mohan
975,Rewaldehi
976,Kathotiya Bute
977,Bindrai
978,Jangaldehri
979,Shatgwari
980,Chordongri
981,Dhakarwadi
982,Simariya Sogar
983,Nimoti
984,Mandla
985,Bamhani Ryt.
986,Bamhani Mal
987,Belgaon Mal
988,Khidki Kaneri
989,Belgaon
990,Bomalya
991,Karanjei
992,Durgwada
993,Jambakiradi
994,Umarghod Khurd
995,Mohgaon Kisan
996,Parwat Ghoghri
997,Madni
998,Sindrai Madho
999,Katkuhi
1000,Bakol
1001,Pipariya Ganu
1002,Bhatodiya Khurd
1003,Bhatodiya Kalan
1004,Simariya Banda
1005,Nawegaon Ryt.
1006,Machi Ghat Mal.
1007,Pohi
1008,Gorakhpur
1009,Machi Ghat Ryt.
1010,Bhimsani Mal
1011,Bhimsani Ryt.
1012,Bhimsani Khurd
1013,Gujarghat
1014,Panara
1015,Dodasemar
1016,Umarghod
1017,Hanotiya
1018,Budhwara
1019,Upli
1020,Dhadra
1021,Khairmandal
1022,Abriya
1023,Tandsi
1024,Bagdari
1025,Khamkheda Ryt.
1026,Chhindikamath
1027,Tumra
1028,Taliwat
1029,Bamhanwara
1030,Imarti
1031,Ghanakheda
1032,Chabdi Damami
1033,Chabdi Bhutaha
1034,Khapa Swami
1035,Dugriya
1036,Bichuwa Mal
1037,Kekda Nimdhana
1038,Purena Kothideo
1039,Deduwada
1040,Purena Khalsha
1041,Bichhua Khurd
1042,Kohliya
1043,Patniya
1044,Bilawar Khurd
1045,Umradi
1046,Bilawar Kalan
1047,Muari
1048,Karan Pipariya
1049,Khamra Kalan
1050,Goodum
1051,Kota Khari
1052,Belkhedi
1053,Mohriya
1054,Morkund
1055,Taterwada
1056,Kewlari
1057,Rechhera
1058,Dhawasiya
1059,Dorli
1060,Manduwa
1061,Aliwada
1062,Garadei
1063,Chikhalmou
1064,Junnor Bi.
1065,Junnordawami
1066,Ghutti
1067,Umariya Purali
1068,Jamkunda
1069,Najarpur
1070,Khajriphulsa
1071,Chatuwa
1072,Dhadhara
1073,Khairwani
1074,Khapaswami(Sarekhadhana)
1075,Datlawadi
1076,Chetuwa Newegaon
1077,Nolakhapa
1078,Bhichwadansa
1079,Naketiya
1080,Kari
1081,Burikda
1082,Burikhurd
1083,Kelmundi
1084,Koket
1085,Kohniya Ryt.
1086,Bhadri
1087,Kalimati
1088,Imarti Kheda
1089,Kanhan
1090,Padhar
1091,Tekapar
1092,Panara (Ct)
1093,Pal Chaurai (Ct)
1094,Umardoh
1095,Kundai
1096,Rahap
1097,Dhagadiya Mal
1098,Dhagadiya Ryt.
1099,Bichhuwa Baitul
1100,Hirawadi
1101,Dodia
1102,Rajola Ryt.
1103,Pandhri Khapa
1104,Parasia Baitul
1105,Maini Khapa Mal
1106,Maini Khapa Ryt.
1107,Chhura Boha
1108,Kohat Mal
1109,Rajola Mal
1110,Chourai
1111,Kohat Ryt.
1112,Tikadi
1113,Sangam
1114,Deep
