,id,id_,score
215341,170,801,1.0
226708,179,810,1.0
225445,178,809,1.0
224182,177,808,1.0
222919,176,807,1.0
221656,175,806,1.0
220393,174,805,1.0
219130,173,804,1.0
217867,172,803,1.0
216604,171,802,1.0
250705,198,829,1.0
251968,199,830,1.0
298699,236,867,1.0
281017,222,853,1.0
285031,225,1081,1.0
284806,225,856,1.0
283543,224,855,1.0
282280,223,854,1.0
280937,222,773,1.0
279754,221,852,1.0
278491,220,851,1.0
277472,219,1094,1.0
277228,219,850,1.0
286069,226,857,1.0
287332,227,858,1.0
297436,235,866,1.0
296173,234,865,1.0
294910,233,864,1.0
293647,232,863,1.0
292384,231,862,1.0
291121,230,861,1.0
289858,229,860,1.0
288595,228,859,1.0
275965,218,849,1.0
262072,207,838,1.0
260809,206,837,1.0
259546,205,836,1.0
258283,204,835,1.0
257020,203,834,1.0
255757,202,833,1.0
254494,201,832,1.0
253584,200,1184,1.0
253231,200,831,1.0
263335,208,839,1.0
263672,208,1176,1.0
274702,217,848,1.0
273439,216,847,1.0
272176,215,846,1.0
270913,214,845,1.0
269650,213,844,1.0
268387,212,843,1.0
267124,211,842,1.0
265861,210,841,1.0
264598,209,840,1.0
797585,632,1,1.0
1347342,1067,788,1.0
1381478,1094,850,1.0
1385587,1097,1173,1.0
1391968,1102,1244,1.0
1372592,1087,798,1.0
1365078,1081,856,1.0
1207109,956,637,1.0
1255615,994,1187,1.0
1255303,994,875,1.0
1251541,991,899,1.0
1263172,1000,1172,1.0
1262818,1000,818,1.0
1260148,998,672,1.0
1527900,1210,880,1.0
1498869,1187,875,1.0
1497547,1186,815,1.0
1580707,1252,683,1.0
1549260,1227,786,1.0
1556757,1233,711,1.0
1495039,1184,831,1.0
1406627,1114,759,1.0
1399006,1108,710,1.0
1479882,1172,818,1.0
1484951,1176,839,1.0
1449509,1148,733,1.0
976379,773,853,1.0
829935,657,801,1.0
813618,644,890,1.0
850236,673,910,1.0
796322,631,0,1.0
558238,442,434,0.952380952381
548781,434,1073,0.952380952381
1344472,1065,442,0.952380952381
1345103,1065,1073,0.952380952381
966081,765,651,0.947368421053
26005,20,765,0.947368421053
25374,20,134,0.947368421053
169759,134,651,0.947368421053
350171,277,597,0.941176470588
1147124,908,1228,0.941176470588
1495780,1185,310,0.941176470588
1550013,1228,277,0.941176470588
1188096,941,554,0.941176470588
754322,597,908,0.941176470588
1496411,1185,941,0.941176470588
699458,554,310,0.941176470588
577741,457,1007,0.933333333333
675413,535,243,0.933333333333
609266,482,982,0.933333333333
675198,535,28,0.933333333333
591993,469,115,0.933333333333
592624,469,746,0.933333333333
444075,351,1113,0.933333333333
577110,457,376,0.933333333333
608635,482,351,0.933333333333
942552,746,1100,0.933333333333
230634,182,950,0.933333333333
649496,514,828,0.933333333333
230003,182,319,0.933333333333
403427,319,849,0.933333333333
1271922,1007,1088,0.933333333333
1405588,1113,982,0.933333333333
648865,514,197,0.933333333333
1026956,813,950,0.933333333333
402796,319,218,0.933333333333
1026325,813,319,0.933333333333
1471735,1166,243,0.933333333333
565298,447,1184,0.933333333333
564945,447,831,0.933333333333
1199749,950,849,0.933333333333
1495286,1184,1078,0.933333333333
1103523,874,535,0.933333333333
1104154,874,1166,0.933333333333
146230,115,1100,0.933333333333
475600,376,1088,0.933333333333
36502,28,1166,0.933333333333
1472151,1166,659,0.933333333333
1046081,828,1145,0.933333333333
564667,447,553,0.933333333333
1445187,1145,197,0.933333333333
564314,447,200,0.933333333333
562267,445,677,0.933333333333
561636,445,46,0.933333333333
1049800,831,1078,0.933333333333
1199118,950,218,0.933333333333
675829,535,659,0.933333333333
1360636,1078,200,0.933333333333
59128,46,1076,0.933333333333
855450,677,1076,0.933333333333
1360989,1078,553,0.933333333333
248725,197,111,0.923076923077
1001028,793,262,0.923076923077
330806,262,162,0.923076923077
1103994,874,1006,0.923076923077
937232,742,828,0.923076923077
1509341,1195,1251,0.923076923077
1103363,874,375,0.923076923077
473493,375,243,0.923076923077
936601,742,197,0.923076923077
36342,28,1006,0.923076923077
35711,28,375,0.923076923077
1001659,793,893,0.923076923077
307672,243,1006,0.923076923077
712388,564,620,0.923076923077
713019,564,1251,0.923076923077
832664,659,1006,0.923076923077
1508710,1195,620,0.923076923077
1045047,828,111,0.923076923077
473909,375,659,0.923076923077
205337,162,893,0.923076923077
764727,605,1217,0.916666666667
740768,586,1236,0.916666666667
740137,586,605,0.916666666667
1537090,1217,1236,0.916666666667
67963,53,1077,0.909090909091
110290,87,496,0.909090909091
1120657,888,1,0.909090909091
1359858,1077,684,0.909090909091
798472,632,888,0.909090909091
110921,87,1127,0.909090909091
67332,53,446,0.909090909091
797841,632,257,0.909090909091
1423097,1127,823,0.909090909091
1422992,1127,718,0.909090909091
863654,684,446,0.909090909091
1422466,1127,192,0.909090909091
626144,496,192,0.909090909091
324335,257,1,0.909090909091
626670,496,718,0.909090909091
1039122,823,496,0.909090909091
860060,681,638,0.888888888889
859429,681,7,0.888888888889
387121,306,949,0.888888888889
649227,514,559,0.888888888889
386884,306,712,0.888888888889
1391969,1102,1245,0.888888888889
1391338,1102,614,0.888888888889
1549329,1227,855,0.888888888889
649858,514,1190,0.888888888889
1445549,1145,559,0.888888888889
1548698,1227,224,0.888888888889
286709,227,235,0.888888888889
402253,318,937,0.888888888889
401622,318,306,0.888888888889
1198575,949,937,0.888888888889
8884,7,50,0.888888888889
774220,613,614,0.888888888889
282843,224,155,0.888888888889
774851,613,1245,0.888888888889
775339,614,471,0.888888888889
776112,614,1244,0.888888888889
283474,224,786,0.888888888889
283284,224,596,0.888888888889
63738,50,638,0.888888888889
753007,596,855,0.888888888889
1083662,858,866,0.888888888889
1083031,858,235,0.888888888889
1079796,855,786,0.888888888889
1079165,855,155,0.888888888889
386253,306,81,0.888888888889
1446180,1145,1190,0.888888888889
595647,471,1245,0.888888888889
103159,81,937,0.888888888889
1093119,866,227,0.888888888889
1572434,1245,1244,0.888888888889
899481,712,937,0.888888888889
225487,178,851,0.875
1016033,805,123,0.875
737525,584,517,0.875
653669,517,1215,0.875
291877,231,355,0.875
737741,584,733,0.875
448872,355,862,0.875
1016664,805,754,0.875
738156,584,1148,0.875
1405338,1113,732,0.875
155400,123,174,0.875
1350037,1069,959,0.875
275298,218,182,0.875
737110,584,102,0.875
1449991,1148,1215,0.875
224856,178,220,0.875
924266,732,482,0.875
1244563,986,231,0.875
1071620,849,182,0.875
1021178,809,220,0.875
1404707,1113,101,0.875
1072251,849,813,0.875
159684,126,672,0.875
